name,latitude,longitude
Turgut Reis,41.013336,28.9874944
Merdivenli Yokuş Evleri,41.0313056,28.9462268
Atatürk Anıtı,41.1958042,28.3302282
Atatürk Büstü,41.0688232,28.1268291
Atatürk Büstü,41.2793031,28.8095306
Bamboo Beach,41.2452616,29.0273091
منزل ايهاب أبو عرمانة,41.0517652,28.837693
Fikret Mualla,40.9834102,29.0332241
Zübeyde Hanim,41.0187122,29.0131431
Pelit Çıkolata Müzesi,41.0585054,28.6646441
Altıntepsi Su Terazisi,41.0346712,28.8968447
Sadrazam Bahir Mustafa Paşa Çeşmesi,41.0425394,28.9181886
Tarihi Sütun,41.0120877,29.0550874
15 Temmuz Şehitleri Zafer Anıtı,41.03699,29.0422754
Atatürk Heykeli,40.980993,28.8733388
Fatih Sultan Mehmet Anıtı,41.0303472,28.9370228
İstanbul’un Orta Noktası,41.0131228,28.957839
Peace Pole,41.0830989,29.0522193
Kamondo Merdivenleri,41.0239741,28.9737825
Atatürk Anıtı,41.4132745,28.1853018
Binkılıç Bizans Kalesi,41.419602,28.189778
şişecam paşabahçe tuzla,40.8398157,29.3134604
Abacı Dede Türbesi,41.0195837,29.0224407
Emin Baba Tekkesi,41.0325687,28.9362445
Discovery Museum,41.0673647,28.691469
Büyükçekmece Atatürk Anıtı,41.0191302,28.5832365
Şampiyonlar Anıtı,41.0207103,28.5859734
ARSAMIN YERİ,41.2354596,28.5648025
Sarıkavak Kalesi,41.0185817,29.6458173
Plaj,40.8384284,29.1207115
MSGSÜ Istanbul Resim ve Heykel Müzesi,41.0274396,28.984281
İstanbul Havalimanı Müzesi,41.2613157,28.7418358
Evcik Plajı,41.4505511,28.38378
Anastasias Walls,41.4501814,28.3817695
Korugan,41.1085597,28.5523747
Korugan,41.1081279,28.5515726
Korugan,41.1181358,28.5476668
Korugan,41.1170005,28.5483993
Korugan,41.0913516,28.5672647
Korugan,41.0918764,28.5663517
Korugan,41.0975839,28.5487738
Korugan,41.1029987,28.5427556
Korugan,41.0886182,28.5567259
Zamran Software Web Tasarım Hizmetleri,40.9874199,28.7076407
Kuzguncuk,41.0361138,29.0303873
Kadife sokak,40.986833,29.026761
Mahmut Baba Türbesi,40.9913443,29.0347259
Mehmed Kemal Bey sepulchral monument,40.9915271,29.0347446
İnadiye Çeşmesi,41.0168678,29.0182018
PTT Müzesi,41.0147153,28.9738991
Gate of Rhegion,41.014097,28.92199
Gate of Rhegion,41.0140859,28.9220687
Cebeci Köyü Rum Kilisesi Kalıntıları,41.1223229,28.8837706
Nişan Taşı,41.051731,28.9915153
Bathonea Arkeolojik Kazı Alanı,41.0329087,28.7337663
Fildamı,40.9930736,28.8861061
Dragos Arkeolojik Kazı Alanı,40.9031308,29.1511392
Şerife Bacı Anıtı,41.115819,28.9981836
Beyazit Kulesi,41.0113939,28.9646825
Istiklâl Caddesi,41.0346417,28.9801102
Türk Eczacılık Tarihi İhtisas Müzesi,41.0108493,28.9631157
İstanbul Üniversitesi Rıdvan Çelikel Arkeoloji Müzesi,41.0098561,28.9601156
Bizans Zindanları,40.8650138,28.9930175
Henry Bulwer Şatosu,40.8647943,28.9957822
Geriye Kalanlar,40.8652275,28.9954466
Açık Hava Sergisi,40.8644833,28.9949006
Nakkaş Sarnıcı,41.0041016,28.9751527
İslambey Çeşmesi,41.0514574,28.9267588
Ahmet Hulusi Dörtışık Hayratı,41.0526884,28.9194951
Hasan Rıza Paşa Çeşmesi,41.0523275,28.9157172
Korugan 29,41.3065035,28.5293046
Korugan 26,41.3040645,28.5260578
Korugan 32,41.3180905,28.5340275
Korugan 23,41.3011676,28.5159078
Korugan 19,41.2740964,28.5121983
Alaiye Anıtı,41.2738333,28.5131693
Korugan 234,41.2856674,28.509551
Korugan 233,41.2862216,28.5089877
Korugan 235,41.2852864,28.5099949
Korugan 236,41.2844258,28.50972
Korugan 252,41.2526039,28.5163558
Korugan 30,41.2518024,28.5294369
Korugan 253,41.2514343,28.5215914
Korugan 247,41.2492383,28.5195999
Korugan 248,41.2494732,28.5175842
Korugan 249,41.2497626,28.5173683
Korugan 251,41.2457646,28.5117477
Korugan 245,41.2610556,28.514607
Korugan 21,41.2611746,28.5139069
Korugan 15,41.2624468,28.5086444
Korugan 240,41.2550529,28.5017002
Korugan 12,41.2555349,28.5060655
Korugan 11,41.2583064,28.5052782
Korugan 10,41.2585241,28.5054727
Mermer Anıtı,40.986962,29.0525299
Jet Uçağı Anıtı,40.9853863,29.0541508
Colorful houses,41.029576,28.9476317
Çulsuz'un Yeri,41.2992017,28.1221174
Illusion Museum,41.02917,28.9749298
Atatürk Anıtı,40.8144496,29.3045383
Lefter Heykeli,40.9871874,29.0341115
ARTER,41.0408994,28.9787641
tab ilaç,41.0721481,28.6298674
Kartal Çeşmesi,40.8900039,29.1871152
Zeynep Hanım Çeşmesi,40.91703,29.2234299
Çözüm Noktasi,41.0363872,28.9843486
Rainbow stairs,41.0165894,28.9666757
Çantaköy Tümülüsü 2,41.1111664,28.0675176
Orhan Kemal Müzesi,41.0305186,28.9836008
Cumaa Bazaar,41.0110937,28.9404273
Kâğıthane Belediyesi Şehir Müzesi,41.0810779,28.9722841
Erenköy Station Fountain,40.9739147,29.0754164
Yoğurtçu Çeşmesi,40.983629,29.0332419
Sait Faik Abasıyanık Museum,40.8810298,29.0674547
İsmet İnönü House Museum,40.8781563,29.0935365
Atatürk Anıtı,40.9939088,29.1087537
Üsküp Saat Kulesi,41.0316657,28.9101915
Müze Girişi,41.0352023,29.0708351
Yıldız Clock Tower,41.0498637,29.0097995
Dervişkapı Germesi Kalıntıları,41.3401596,28.3027031
Ballıgerme Su kemer,41.3480864,28.2894756
Gümüşpınar Germesi,41.3394205,28.290729
Mustafa Kemal Atatürk,41.0672216,29.0432167
Vodina Caddesi,41.0303242,28.9500978
Kiremit Caddesi,41.0295336,28.9476369
Topkapi Sarayı,41.011344,28.9832034
Merdıvenli Yokuş,41.0312533,28.9462049
İçerenköy Kavşağı Heykeli,40.9717768,29.1083884
Ulus Parki,41.064028,29.0320536
Yıldız Parkı,41.0468738,29.0174847
Kuzguncuk,41.0338266,29.0314079
Kuzguncuk Bostani,41.0346796,29.0316292
Otağtepe Fatıh Korusu,41.089864,29.0696067
Sultan 1.Mahmut Çeşmesi,41.0738466,29.0585462
Hababam Sınıfı Müzesi,41.0136158,29.0419533
Can Bartu heykeli,40.9872304,29.0341218
Silivrikapı Hypogeum,41.0066029,28.9219004
Şah Anıtı,41.1050457,28.850758
Sancaktepe Saat Kulesi,40.9855982,29.2296721
Taâvün Çeşmesi,41.0511855,28.9224391
X Media Art Müsesi,40.993222,29.1253363
Yerebatan Sarnıcı,41.0084795,28.9783826
Modern saat Kulesi,40.8265677,29.325352
1923,41.0258266,29.0094982
Ay bike sokagi,41.0903351,29.003977
Çoban Çeşmesi,40.993706,28.8194808
İSKİ Terkos Su Medeniyetleri Müzesi,41.3007516,28.6735305
Hazzopulo Pasajı,41.0333902,28.9760307
Sohum Kalesi Kitâbesi,41.0123834,28.9840355
IBB Çubuklu Silolar,41.1088724,29.0828543
Ayasofya Tarih ve Deneyim Müzesi,41.0064549,28.9753667
Elephant,41.1791526,29.6220333
Kayışdağı Suyu Çeşmesi,40.9802988,29.077375
Ara Güler Müzesi,41.0583124,28.9803794
Rumeli Han туннель,41.0350636,28.9808937
Su Havuzu,41.0918277,28.9044202
Ağva Feneri,41.140838,29.8513446
Ayvat Bendi Tabiat Parkı,41.1969538,28.9198767
Mısırlı Hatice Hanım Çeşmesi,41.1761619,29.6101176
Hüseyin Rahmi Gürpınar,40.8765193,29.1008982
Fethiye Müzesi,41.0292105,28.946518
Dolmabahçe Saat Müzesi,41.0376899,28.9963411
15 Temmuz'da Tankın Altında Kalan Araç,41.0463297,28.9329086
Mavi Marmara Anıtı,41.0954254,28.8785158
İBB Bakırköy Ödünç Kütüphane,40.9809416,28.8743693
İBB Çubuklu Silolar Kütüphanesi,41.1082453,29.0835867
İBB Bulgur Palas Kütüphanesi,41.0069951,28.9440457
Rami Kütüphanesi Kasr-ı Hümayun Çeşmeleri,41.0484792,28.9165314
Rami Kütüphanesi Kasr-ı Hümayun Çeşmeleri,41.0485769,28.9166391
Türkiye İş Bankası Resim Heykel Müzesi,41.0315115,28.9759016
Caffè Nero,41.0434829,29.0050623
Arkadyos Sütunu,41.0077359,28.9430614
İstanbul Robot Müzesi,40.9825453,28.7285492
Düştepe Oyun Müzesi,40.9936089,29.1124414
Uçak,41.0108445,28.5989483
Uçak,41.0105693,28.5991696
Eski Hamam,41.0220856,28.5800394
Ulusal Bağımsızlık ve Kuruluş Müzesi,41.0179076,28.5827468
Atatürk Devrimleri Müzesi,41.0181895,28.5826466
Tarihi Kalıntı,40.8177712,29.3014188
Tarihi Kalıntı,40.8335645,29.2731395
Değirmenaltı Kilisesi,40.8205445,29.3232055
Korugan,41.2527562,28.5867664
Korugan,41.2521835,28.5870185
Korugan,41.247025,28.5813738
Korugan,41.2482562,28.5811445
Korugan,41.2477621,28.5818338
Korugan,41.2483036,28.5806644
Korugan,41.247989,28.5803814
Korugan,41.2470775,28.5801454
Korugan,41.2467417,28.5801387
Korugan,41.2463212,28.5802299
Korugan,41.2462113,28.5807838
Padişah Mahfili - Yeni Cami,41.0168929,28.9727768
Museum of Turkish & Islamic Arts,41.0343138,29.0708259
Hoca Ahmet Tûrânî Kabri,41.0396879,29.0005098
Dolmabahçe Sarayı Deniz Kapısı,41.0387281,29.000731
Tarihi Kemer Kalıntısı,41.021825,28.952164
Gezi Parkı olaylarının gerçekleştiği yer,41.0372496,28.9862711
250. Yıl Anıtı,41.1029173,29.0233877
Atatürk Heykeli,40.9253613,29.271441
Hayalet Bisiklet Anıtı,40.952493,29.0940921
Nimelceyş Kabiri,41.0049688,28.9818618
Hasan Baba Kabri,41.0044472,28.9815974
Bizans Lahdi,41.0043528,28.9812179
Nimelceyş Kabiri,41.0039629,28.9819079
Hasbahçe Kapısı,41.0145504,28.9866043
IV. Mehmet Türbesi,41.0160855,28.9717905
Sultan Abdulaziz Han kabri,41.008552,28.9725794
V. Murat Türbesi,41.0161468,28.9717123
II. Abdülhamid Türbesi,41.0086349,28.972596
İstanbul'un Fethi,41.0216527,28.9263123
