Mekan_Adi,Enlem,Boylam,Kategori
Beyazıt Türk Hamam Kültürü Müzesi,41.0099458,28.9615545,Turistik Yer
Abdullah El Ensari Türbesi,41.0332977,28.944349,Turistik Yer
Ebuzer Gifari Türbesi,41.0376062,28.9428599,Turistik Yer
İvaz Efendi Çeşmesi,41.0378888,28.9411463,Turistik Yer
Ebu Şeybe El-Hudri Türbesi,41.039341,28.9414828,Turistik Yer
Türk ve İslam Eserleri Müzesi,41.0062801,28.974915,Turistik Yer
Molla Gorani Hazretlerinin Kabri,41.0112305,28.9411363,Turistik Yer
Sahabe-i Kiramdan Abdurrahman Şami Türbesi,41.0066904,28.9791454,Turistik Yer
İslam bilim ve teknoloji tarihi müzesi,41.0132188,28.9789678,Turistik Yer
Tarihi Hacı Kadın Hamamı,40.9997863,28.9274893,Turistik Yer
Şeyh Seyyid Seyfullah Hz.,41.0071684,28.9269866,Turistik Yer
Dumankaya Adres Lobi,40.8623461,29.3343936,Turistik Yer
Cumhuriyet Meydanı,40.9812405,28.8738949,Turistik Yer
Abdulmecit Efendi Köşkü,41.0282408,29.0415462,Turistik Yer
Marmara Üniversitesi Cumhuriyet Müzesi ve Sanat Galerisi,41.0051858,28.9743891,Turistik Yer
İstanbul Cumhuriyet Eğitim Müzesi,41.0049596,28.9739331,Turistik Yer
Mehmet Efendi Çeşmesi,41.0031805,28.9720795,Turistik Yer
Pera Spa,41.0105966,28.9731818,Turistik Yer
Türkiye Gazeteciler Cemiyeti Basın Müzesi,41.0085619,28.9722162,Turistik Yer
Karababa Türbesi,41.0083008,28.9692078,Turistik Yer
Merzifonlu Kara Mustafa Paşa Medresesi,41.008669,28.9679366,Turistik Yer
Yahya Kemal Museum,41.008741,28.967614,Turistik Yer
Çorlulu Alipaşa Madresesi,41.0089122,28.9683181,Turistik Yer
Fatih Sultan Mehmet Heykeli,41.0353157,28.9184913,Turistik Yer
Cow Statue,41.1081763,29.0342498,Turistik Yer
Walkway Monuments,41.1063201,29.0280643,Turistik Yer
Balerin Heykeli,41.1046962,29.0235944,Turistik Yer
صرافی,41.0357451,28.981708,Turistik Yer
Aycan turizm,40.9675965,29.2660832,Turistik Yer
Sarayburnu Atatürk Anıtı,41.016263,28.9861325,Turistik Yer
Cezayirli Gazi Hasan Paşa Anıtı,41.0305744,28.9670993,Turistik Yer
Labirent-maze,41.0595777,28.9495675,Turistik Yer
Kristal Istanbul,41.0606675,28.9478424,Turistik Yer
Nice Ajax Füzesi,40.9644738,28.825573,Turistik Yer
Mavi Isik G,40.9647099,28.8251255,Turistik Yer
Birinci dünya savasi (1914 - 1918),40.9637619,28.8264748,Turistik Yer
Dornier Do 28 D-1,40.9632247,28.8265234,Turistik Yer
500. Yıl Vakfı Türk Musevileri Müzesi,41.0267866,28.9727283,Turistik Yer
Buharizade Mustafa Efendi (Itri),41.0345631,28.9332608,Turistik Yer
Surp Kevork Kilisesi,41.0018646,28.9331468,Turistik Yer
Çiçek Pasajı,41.0340997,28.9779211,Turistik Yer
İstanbul Modern Sanat Müzesi,41.025911,28.982812,Turistik Yer
Pireci Studio,41.0526945,29.2379176,Turistik Yer
belgradkapı tesisleri,41.0019893,28.9185699,Turistik Yer
Fransiz Gecidi,41.0245125,28.9793708,Turistik Yer
Eğrikapı,41.0364729,28.9393976,Turistik Yer
Borusan Holding,41.0892526,29.0565723,Turistik Yer
Charlie Chaplin Köşesi,41.0250792,28.9788924,Turistik Yer
Fransız Geçidi,41.024615,28.9792854,Turistik Yer
Şehit Uğur Taşçı Anıtı,41.1325992,29.0401268,Turistik Yer
Saray Koleksiyonları Müzesi,41.04121,29.004119,Turistik Yer
Sabanci Universitesi Kasa Galerisi,41.0238431,28.9750813,Turistik Yer
Selamiali efendi mezarı,41.0236472,29.0296013,Turistik Yer
mezarlık,41.0562805,29.0577323,Turistik Yer
Melantias,41.0584379,28.7383917,Turistik Yer
Tarihi Hamam,41.1761776,29.6118871,Turistik Yer
Surp Boğos,41.1622847,29.046941,Turistik Yer
Prison of Anemas,41.038414,28.9407981,Turistik Yer
1453,41.025896,29.0099698,Turistik Yer
Canfeda Tekkesi Haziresi,41.0320931,28.9896659,Turistik Yer
Spradon,41.0686511,28.7086192,Turistik Yer
Zosia Teyze'nin Anı Evi,41.1100143,29.2099873,Turistik Yer
Turgut Reis,41.013336,28.9874944,Turistik Yer
Merdivenli Yokuş Evleri,41.0313056,28.9462268,Turistik Yer
Bamboo Beach,41.2452616,29.0273091,Turistik Yer
منزل ايهاب أبو عرمانة,41.0517652,28.837693,Turistik Yer
Fikret Mualla,40.9834102,29.0332241,Turistik Yer
Zübeyde Hanim,41.0187122,29.0131431,Turistik Yer
Pelit Çıkolata Müzesi,41.0585054,28.6646441,Turistik Yer
Altıntepsi Su Terazisi,41.0346712,28.8968447,Turistik Yer
Sadrazam Bahir Mustafa Paşa Çeşmesi,41.0425394,28.9181886,Turistik Yer
Tarihi Sütun,41.0120877,29.0550874,Turistik Yer
15 Temmuz Şehitleri Zafer Anıtı,41.03699,29.0422754,Turistik Yer
İstanbul’un Orta Noktası,41.0131228,28.957839,Turistik Yer
Peace Pole,41.0830989,29.0522193,Turistik Yer
Kamondo Merdivenleri,41.0239741,28.9737825,Turistik Yer
Binkılıç Bizans Kalesi,41.419602,28.189778,Turistik Yer
şişecam paşabahçe tuzla,40.8398157,29.3134604,Turistik Yer
Abacı Dede Türbesi,41.0195837,29.0224407,Turistik Yer
Emin Baba Tekkesi,41.0325687,28.9362445,Turistik Yer
Discovery Museum,41.0673647,28.691469,Turistik Yer
Büyükçekmece Atatürk Anıtı,41.0191302,28.5832365,Turistik Yer
Şampiyonlar Anıtı,41.0207103,28.5859734,Turistik Yer
ARSAMIN YERİ,41.2354596,28.5648025,Turistik Yer
Sarıkavak Kalesi,41.0185817,29.6458173,Turistik Yer
Plaj,40.8384284,29.1207115,Turistik Yer
MSGSÜ Istanbul Resim ve Heykel Müzesi,41.0274396,28.984281,Turistik Yer
İstanbul Havalimanı Müzesi,41.2613157,28.7418358,Turistik Yer
Evcik Plajı,41.4505511,28.38378,Turistik Yer
Anastasias Walls,41.4501814,28.3817695,Turistik Yer
Korugan,41.1085597,28.5523747,Turistik Yer
Zamran Software Web Tasarım Hizmetleri,40.9874199,28.7076407,Turistik Yer
Kuzguncuk,41.0361138,29.0303873,Turistik Yer
Kadife sokak,40.986833,29.026761,Turistik Yer
Mahmut Baba Türbesi,40.9913443,29.0347259,Turistik Yer
Mehmed Kemal Bey sepulchral monument,40.9915271,29.0347446,Turistik Yer
